,SPY_Close,VIX_Close
1993-01-29,24.4525146484375,12.420000076293945
1993-02-01,24.62643051147461,12.329999923706055
1993-02-02,24.67861557006836,12.25
1993-02-03,24.939485549926758,12.119999885559082
1993-02-04,25.04383659362793,12.289999961853027
1993-02-05,25.026447296142578,12.899999618530273
1993-02-08,25.026447296142578,13.220000267028809
1993-02-09,24.852537155151367,13.479999542236328
1993-02-10,24.88731575012207,13.430000305175781
1993-02-11,25.0090389251709,12.6899995803833
1993-02-12,24.81773567199707,12.380000114440918
1993-02-16,24.191652297973633,15.760000228881836
1993-02-17,24.17424774169922,15.899999618530273
1993-02-18,24.156864166259766,15.5600004196167
1993-02-19,24.24382972717285,15.020000457763672
1993-02-22,24.330791473388672,14.699999809265137
1993-02-23,24.313377380371094,15.039999961853027
1993-02-24,24.62643051147461,14.720000267028809
1993-02-25,24.67861557006836,13.760000228881836
1993-02-26,24.713382720947266,13.15999984741211
1993-03-01,24.64383316040039,13.600000381469727
1993-03-02,25.0090389251709,12.489999771118164
1993-03-03,25.11338996887207,13.130000114440918
1993-03-04,24.974275588989258,13.4399995803833
1993-03-05,24.90469741821289,14.079999923706055
1993-03-08,25.461225509643555,16.219999313354492
1993-03-09,25.374269485473633,14.170000076293945
1993-03-10,25.42643928527832,13.90999984741211
1993-03-11,25.356882095336914,14.260000228881836
1993-03-12,25.095993041992188,15.65999984741211
1993-03-15,25.217754364013672,14.739999771118164
1993-03-16,25.217754364013672,14.510000228881836
1993-03-17,25.06122589111328,14.529999732971191
1993-03-18,25.217754364013672,14.170000076293945
1993-03-19,25.17959213256836,13.229999542236328
1993-03-22,25.039796829223633,13.65999984741211
1993-03-23,25.092220306396484,13.020000457763672
1993-03-24,25.092220306396484,12.4399995803833
1993-03-25,25.249481201171875,12.079999923706055
1993-03-26,25.10968017578125,12.210000038146973
1993-03-29,25.21451759338379,12.630000114440918
1993-03-30,25.284427642822266,12.229999542236328
1993-03-31,25.266948699951172,12.529999732971191
1993-04-01,25.17959213256836,13.020000457763672
1993-04-02,24.655370712280273,14.5
1993-04-05,24.777687072753906,14.119999885559082
1993-04-06,24.70778465270996,14.239999771118164
1993-04-07,24.79515838623047,13.640000343322754
1993-04-08,24.760225296020508,12.829999923706055
